StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_DuplicateRespondent,Last Seen Flow Element ID,Last Seen Question IDs,CONSENT,SCR_AGE,SCR_OMNI,CC1,CC2,AIP1,AIP2,AIP3,AIP4,AIP5,REL1,REL2,REL3,REL4,INT1,INT2,INT3,INT4,INT5,ATT1,TRU1,TRU2,TRU3,TRU4,TRU5,TRU6,ENG1,ENG2,ENG3,ENG4,ENG5,ENG6,ATT2,PI1,PI2,PI3,PI4,PDPL1,PDPL2,PDPL3,PDPL4,MC_AIP,MC_DISC,AGE_BAND,GEN,EDU,INC,FREQ,PLAT,PLAT_5_TEXT,PRIOR,CHAN,CELL,AIP_COND,DISC_COND
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_DuplicateRespondent,Last Seen Flow Element ID,Last Seen Question IDs,"Anh/Chị có đồng ý tham gia khảo sát này không?

Do you agree to participate in this survey?","Anh/Chị có đủ 18 tuổi trở lên không?

Yes, I am 18 or older","Trong 3 tháng gần đây, bạn có mua sắm trên các nền tảng như Shopee, Lazada, TikTok Shop, Thế giới di động, Hasaki… qua ít nhất 2 kênh khác nhau không (ví dụ: vừa đặt qua ứng dụng vừa đặt qua website, hoặc vừa mua online vừa mua trực tiếp tại cửa hàng)?

In the past 3 months, have you shopped on platforms such as Shopee, Lazada, TikTok Shop, The Gioi Di Dong, Hasaki, etc. through at least 2 different channels (for example, ordering both via app and via website, or shopping both online and in-store)?","Trong tình huống bạn vừa đọc, danh sách sản phẩm được hiển thị theo cách nào?

In the scenario you just read, how was the product list displayed?","Trong tình huống bạn vừa đọc, trước khi xem các sản phẩm, ShopWave có hiển thị thông báo về quyền riêng tư không?

In the scenario you just read, before viewing the products, did ShopWave display a privacy notice?","ShopWave có khả năng phân tích mức chi tiêu của tôi.

ShopWave can analyze my consumption level.","ShopWave có khả năng phân tích các đặc điểm cá nhân của tôi (ví dụ: giới tính, độ tuổi, phong cách yêu thích).

ShopWave can analyze my personal characteristics (e.g., gender, age group, preferred style).","ShopWave có khả năng nhận diện thói quen mua sắm của tôi và gợi ý những sản phẩm tôi có thể quan tâm hoặc cần. 

ShopWave is able to identify my shopping habits and suggest products I may be interested in or need.","Dù tôi dùng kênh nào (ứng dụng hay website), ShopWave vẫn đưa ra gợi ý cho thấy cùng một sự hiểu biết về tôi. 



Regardless of which channel I use (app or website), ShopWave gives me recommendations that reflect the same understanding of me.","Dù tôi đang dùng kênh nào, các khuyến mãi và gợi ý của ShopWave vẫn thể hiện đúng hồ sơ cá nhân của tôi. 

ShopWave's promotions and recommendations reflect my personal profile, regardless of which channel I am using.","Danh sách sản phẩm tôi vừa xem phù hợp với nhu cầu mua sắm hiện tại của tôi.



The product list I just saw matches my current shopping needs.","Danh sách sản phẩm tôi vừa xem đúng với loại sản phẩm tôi đang tìm kiếm.

The product list I saw was consistent with the type of product I was looking for.","Danh sách sản phẩm tôi vừa xem đúng với những gì tôi đã tìm kiếm trước đó.

 

The product list I saw was consistent with what I had previously searched for.","Nhìn chung, danh sách sản phẩm tôi vừa xem hữu ích với tôi.

 

Overall, the product list I saw was useful to me.","Tôi cảm thấy danh sách sản phẩm này gây cản trở trải nghiệm mua sắm thông thường của tôi.

I feel this product list interferes with my normal shopping experience.","Tôi cảm thấy khó chịu vì danh sách sản phẩm này làm gián đoạn việc mua sắm của tôi.

I feel annoyed because this product list disrupts my shopping.","Tôi cảm thấy danh sách sản phẩm này quấy rầy và khó có thể lờ đi.

I feel this product list is intrusive and hard to ignore.","Tôi cảm thấy trải nghiệm này xâm phạm quyền riêng tư của tôi.

I feel this experience invades my privacy.","Tôi cảm thấy cách sản phẩm được hiển thị cho tôi mang tính áp đặt, nằm ngoài tầm kiểm soát của tôi.

I feel the way products are shown to me is imposing, beyond my control.","Để xác nhận Anh/Chị đang đọc kỹ câu hỏi, vui lòng chọn số 5 cho câu này.

To confirm that you are reading the questions carefully, please select number 5 for this item.","Tôi tin ShopWave có đủ năng lực để đưa ra những gợi ý mua sắm tốt.

I believe ShopWave is competent enough to make good product recommendations.","Tôi tin rằng ShopWave trung thực trong cách sử dụng thông tin của tôi để cá nhân hóa.

I believe ShopWave is honest in how it uses my information for personalisation.","Tôi tin rằng ShopWave hành động vì lợi ích của tôi, chứ không chỉ vì lợi ích của họ.

I believe ShopWave acts in my best interest, not just its own.","Tôi cảm thấy an toàn khi dựa vào ShopWave để đưa ra quyết định mua sắm của mình.

I feel secure about relying on ShopWave for my shopping decisions.","Tôi cảm thấy thoải mái khi dựa vào ShopWave để đưa ra quyết định mua sắm của mình.

I feel comfortable about relying on ShopWave for my shopping decisions.","Tôi cảm thấy an lòng khi dựa vào ShopWave để đưa ra quyết định mua sắm của mình.

I feel content about relying on ShopWave for my shopping decisions.","Việc sử dụng nền tảng ShopWave khiến tôi nghĩ đến ShopWave.

Using the ShopWave platform gets me thinking about ShopWave.","Tôi chú ý đến những nội dung liên quan đến các gợi ý của ShopWave.

I pay close attention to content related to ShopWave's recommendations.","Tôi cảm nhận những cảm xúc tích cực khi tương tác với ShopWave.

I feel positive emotions when interacting with ShopWave.","Trong số các nền tảng mua sắm trực tuyến tôi dùng, ShopWave là lựa chọn tôi ưu tiên chọn đầu tiên.

Among the online shopping platforms I use, ShopWave is the one I choose first.","So với các nền tảng mua sắm khác, tôi dành nhiều thời gian sử dụng ShopWave hơn.

Compared with other shopping platforms, I spend more time using ShopWave.","Tôi cảm thấy hào hứng khi sử dụng ShopWave.

I feel enthusiastic when using ShopWave.","Để xác nhận Anh/Chị đang đọc kỹ câu hỏi, vui lòng chọn số 2 cho câu này.

To confirm that you are reading the questions carefully, please select number 2 for this item.","Nếu có cơ hội, tôi có ý định mua các sản phẩm được nền tảng ShopWave gợi ý.

Given the opportunity, I intend to buy the products ShopWave recommends.","Tôi nghĩ rằng trong tương lai tôi sẽ mua hàng trên nền tảng ShopWave.

I think I will purchase on the ShopWave platform in the future.","Dựa trên tình huống vừa đọc, nhiều khả năng tôi sẽ tiếp tục mua sắm trên ShopWave.

Based on the scenario I just read, I am likely to continue shopping on ShopWave.","Khả năng tôi sẽ mua các sản phẩm mà ShopWave gợi ý là cao. 

The likelihood that I would buy the products ShopWave recommends is high.","Tôi biết Việt Nam hiện có luật quy định về bảo vệ dữ liệu cá nhân.

I am aware that Vietnam has a law regulating the protection of personal data.","Tôi biết mình có quyền yêu cầu doanh nghiệp xóa hoặc ngừng sử dụng dữ liệu cá nhân của mình.

I know that I have the right to request that a business delete my personal data or stop using it.","Tôi hiểu rằng doanh nghiệp phải xin sự đồng ý của tôi trước khi thu thập dữ liệu để cá nhân hóa.

I understand that a business must obtain my consent before collecting my data for personalisation.","Tôi biết mình có quyền được thông báo về việc dữ liệu cá nhân của mình đang được xử lý như thế nào.

I know that I have the right to be informed about how my personal data is being processed.","Tôi cảm thấy danh sách sản phẩm mà mình nhìn thấy đã được cá nhân hóa theo sở thích của riêng tôi.

I feel that the product list I saw was personalized according to my own preferences.","Tôi nhận thấy nền tảng này đã cung cấp thông báo về quyền riêng tư trước khi tôi tiếp tục duyệt xem.

I noticed that the platform provided a privacy notice before I continued browsing.","Anh/Chị vui lòng cho biết nhóm tuổi của mình:

Please indicate your age group:","Anh/Chị vui lòng cho biết giới tính của mình:

Please indicate your gender:","Trình độ học vấn cao nhất Anh/Chị đã hoàn thành là gì?

What is the highest level of education you have completed?","Thu nhập cá nhân hằng tháng của Anh/Chị hiện nay khoảng bao nhiêu?

What is your approximate current monthly personal income?","Anh/Chị mua sắm trực tuyến với tần suất như thế nào?

How often do you shop online?","Trong 3 tháng gần đây, Anh/Chị mua sắm nhiều nhất trên nền tảng nào dưới đây?

In the past 3 months, which of the following platforms have you shopped on the most? - Selected Choice","Trong 3 tháng gần đây, Anh/Chị mua sắm nhiều nhất trên nền tảng nào dưới đây?

In the past 3 months, which of the following platforms have you shopped on the most? - Khác

Other - Text","Anh/Chị đã sử dụng nền tảng [QID73-ChoiceGroup-SelectedChoices] được bao lâu?

How long have you been using [QID73-ChoiceGroup-SelectedChoices] platform?","Trong 3 tháng gần đây, Anh/Chị đã mua hàng của nền tảng [QID73-ChoiceGroup-SelectedChoices] qua những kênh nào dưới đây? (Có thể chọn nhiều đáp án)

In the past 3 months, through which of the following channels have you made purchases on [QID73-ChoiceGroup-SelectedChoices] platform? (Multiple answers allowed)",CELL,AIP_COND,DISC_COND
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_DuplicateRespondent""}","{""ImportId"":""LastSeenFlowID""}","{""ImportId"":""LastSeenQuestions""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID15""}","{""ImportId"":""QID79""}","{""ImportId"":""QID16""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID85""}","{""ImportId"":""QID97""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID60""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103""}","{""ImportId"":""QID128""}","{""ImportId"":""QID40""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID114""}","{""ImportId"":""QID116""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID129""}","{""ImportId"":""QID119""}","{""ImportId"":""QID120""}","{""ImportId"":""QID121""}","{""ImportId"":""QID122""}","{""ImportId"":""QID123""}","{""ImportId"":""QID124""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID74""}","{""ImportId"":""QID73""}","{""ImportId"":""QID73_5_TEXT""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""CELL""}","{""ImportId"":""AIP_COND""}","{""ImportId"":""DISC_COND""}"
2026-09-10 00:39:09,2026-09-10 00:39:24,1,,100,14,1,2026-09-10 00:39:24,R_987CJjZifSMunhn,,,,,10.822,106.6257,preview,VI,,FL_55,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-10 00:48:17,2026-09-10 00:48:52,0,14.241.251.212,100,34,1,2026-09-10 00:48:52,R_4r3mnlw4JlNmKds,,,,,10.822,106.6257,anonymous,VI,,FL_34,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1
2026-09-10 00:46:30,2026-09-10 00:53:10,0,14.241.251.212,100,399,1,2026-09-10 00:53:11,R_9YGlYvw3JJdBNxn,,,,,10.822,106.6257,anonymous,VI,,FL_34,,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0
2026-09-10 00:48:31,2026-09-10 00:54:39,0,42.113.218.2,100,367,1,2026-09-10 00:54:40,R_9Zdbk61A0czebWF,,,,,10.822,106.6257,anonymous,VI,,FL_56,,1,1,1,2,2,5,6,7,5,6,7,6,5,6,4,4,2,4,2,5,6,5,4,5,5,5,6,5,5,6,6,5,2,5,7,7,5,6,7,7,6,6,5,1,2,3,1,5,1,,4,"1,3",3,1,0
2026-09-10 00:49:57,2026-09-10 00:56:53,0,14.241.251.212,100,416,1,2026-09-10 00:56:54,R_44c0eb7W8FfjQmG,,,,,10.822,106.6257,anonymous,VI,,FL_56,,1,1,1,1,2,2,3,3,3,4,3,4,3,3,4,4,5,6,5,5,2,2,3,2,2,2,6,5,6,6,6,6,2,3,3,3,3,4,5,6,6,2,2,1,1,3,2,3,1,,4,"1,3",1,0,0
2026-09-10 00:53:17,2026-09-10 00:58:46,0,14.241.251.212,100,328,1,2026-09-10 00:58:46,R_9jlRTUYj3m8lY1r,,,,,10.822,106.6257,anonymous,VI,true,FL_56,,1,1,1,1,2,7,7,7,5,7,7,7,7,7,2,2,3,2,2,5,7,6,6,6,6,6,6,7,6,6,7,6,2,7,6,7,7,7,6,6,6,7,2,1,1,3,2,3,1,,3,"1,3,5",1,0,0
2026-09-10 00:50:30,2026-09-10 00:59:28,0,172.225.56.74,100,538,1,2026-09-10 00:59:29,R_9zcggPqOxixxl0G,,,,,10.822,106.6257,anonymous,VI,,FL_56,,1,1,1,1,1,6,5,6,6,4,4,5,5,5,5,5,4,3,4,5,5,6,6,5,4,4,7,5,5,3,5,4,2,6,5,5,7,7,6,5,6,6,7,1,1,3,1,2,3,,4,1,2,0,1
2026-09-10 00:51:54,2026-09-10 01:03:36,0,14.241.251.212,100,701,1,2026-09-10 01:03:36,R_4OHEMnTwvjrPfhU,,,,,10.822,106.6257,anonymous,VI,,FL_56,,1,1,1,2,1,7,7,7,7,6,7,7,7,7,2,2,5,1,4,5,6,6,4,6,6,5,5,5,5,6,5,3,2,7,6,7,5,7,7,7,7,7,7,1,2,3,1,3,1,,4,"1,2,3",4,1,1
